date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:05:34	258227/258227	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-3f0b3%22	https://uomo-html.flexkitux.com/Demo4/index.html	D:/myProjects/tracker/hci/uomo-html.flexkitux.com/Demo4/index.html	(from )
23:05:35	123/123	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20May%202024%2020:05:19%20GMT	https://uomo-html.flexkitux.com/robots.txt		(from )
23:05:35	13917/13917	---M--	200	added ('OK')	text/css	etag:%22652b76cf-365d%22	https://uomo-html.flexkitux.com/Demo4/css/plugins/swiper.min.css	D:/myProjects/tracker/hci/uomo-html.flexkitux.com/Demo4/css/plugins/swiper.min.css	(from https://uomo-html.flexkitux.com/Demo4/index.html)
23:05:36	1744/1744	---M--	200	added ('OK')	image/png	etag:%226518e001-6d0%22	https://uomo-html.flexkitux.com/images/logo.png	D:/myProjects/tracker/hci/uomo-html.flexkitux.com/images/logo.png	(from https://uomo-html.flexkitux.com/Demo4/index.html)
23:05:36	436688/436688	---M--	200	added ('OK')	text/css	etag:%2265e62cb0-6a9d0%22	https://uomo-html.flexkitux.com/Demo4/css/style.css	D:/myProjects/tracker/hci/uomo-html.flexkitux.com/Demo4/css/style.css	(from https://uomo-html.flexkitux.com/Demo4/index.html)
23:05:37	172643/172643	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-2a263%22	https://uomo-html.flexkitux.com/Demo4/shop1.html	D:/myProjects/tracker/hci/uomo-html.flexkitux.com/Demo4/shop1.html	(from https://uomo-html.flexkitux.com/Demo4/index.html)
23:05:37	157880/157880	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-268b8%22	https://uomo-html.flexkitux.com/Demo4/shop2.html	D:/myProjects/tracker/hci/uomo-html.flexkitux.com/Demo4/shop2.html	(from https://uomo-html.flexkitux.com/Demo4/index.html)
23:05:37	160423/160423	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-272a7%22	https://uomo-html.flexkitux.com/Demo4/shop3.html	D:/myProjects/tracker/hci/uomo-html.flexkitux.com/Demo4/shop3.html	(from https://uomo-html.flexkitux.com/Demo4/index.html)
23:05:37	159361/159361	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-26e81%22	https://uomo-html.flexkitux.com/Demo4/shop4.html	D:/myProjects/tracker/hci/uomo-html.flexkitux.com/Demo4/shop4.html	(from https://uomo-html.flexkitux.com/Demo4/index.html)
23:05:37	148821/148821	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-24555%22	https://uomo-html.flexkitux.com/Demo4/shop5.html	D:/myProjects/tracker/hci/uomo-html.flexkitux.com/Demo4/shop5.html	(from https://uomo-html.flexkitux.com/Demo4/index.html)
